episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
234,hard,395.07,63,2,50,0,0.02,5.69,435.76,1.72,13,40,57.14
235,hard,379.81,49,2,40,0,0.02,4.67,437.24,1.73,6,29,79.59
236,hard,978.2,347,4,30,0,0.02,31.49,444.49,1.76,108,78,55.91
237,hard,225.63,58,1,10,0,0.02,7.0,444.36,1.76,6,28,56.9
238,hard,265.41,63,1,-30,0,0.02,8.33,441.36,1.75,5,44,60.32
239,hard,579.16,106,3,60,0,0.02,11.4,444.85,1.77,24,48,64.15
240,hard,200.06,78,1,5,0,0.02,8.42,445.99,1.78,27,22,61.54
241,hard,324.25,93,1,5,0,0.02,9.81,446.4,1.78,8,37,60.22
242,hard,92.02,39,0,-50,0,0.02,4.27,444.64,1.77,4,26,56.41
243,hard,399.34,246,1,-60,0,0.02,25.33,446.08,1.77,91,59,56.91
244,hard,189.79,33,1,0,0,0.02,2.97,445.04,1.77,8,20,72.73
245,hard,180.93,29,1,-5,0,0.02,3.08,443.13,1.77,4,18,65.52
246,hard,238.69,74,1,-40,0,0.02,9.22,441.0,1.76,11,33,58.11
247,hard,658.33,140,3,55,0,0.02,14.21,443.85,1.77,22,54,55.0
248,hard,612.15,223,2,30,0,0.02,21.65,445.69,1.78,62,72,51.12
249,hard,820.86,149,4,100,0,0.02,15.79,448.17,1.79,20,54,61.07
250,hard,240.19,62,1,5,0,0.02,6.47,445.78,1.78,11,30,61.29
251,hard,489.95,141,2,-20,0,0.02,13.64,444.59,1.78,28,45,61.7
252,hard,370.9,122,1,-20,0,0.02,11.24,443.21,1.77,24,62,50.82
253,hard,508.48,103,2,30,0,0.02,9.61,443.03,1.77,8,44,55.34
254,hard,233.19,42,1,-5,0,0.02,4.74,442.6,1.77,4,29,66.67
255,hard,477.37,89,2,40,0,0.02,9.68,442.61,1.78,13,46,62.92
256,hard,511.5,96,2,25,0,0.02,10.04,444.61,1.79,3,47,57.29
257,hard,205.98,96,1,0,0,0.02,9.57,432.16,1.75,36,28,42.71
258,hard,597.78,122,3,15,0,0.02,12.08,424.89,1.73,23,47,60.66
259,hard,422.23,81,2,20,0,0.02,7.81,419.87,1.72,14,44,60.49
260,hard,244.72,53,1,5,0,0.02,4.59,419.29,1.72,4,26,69.81
261,hard,403.43,85,2,55,0,0.02,9.78,420.35,1.73,35,35,80.0
262,hard,1078.38,396,5,105,0,0.02,41.64,426.36,1.76,197,67,60.61
263,hard,462.03,130,2,30,0,0.02,12.56,427.75,1.77,12,43,50.77
264,hard,264.65,90,1,0,0,0.02,10.0,425.53,1.76,3,24,55.56
265,hard,1029.08,487,4,75,0,0.02,45.68,433.42,1.79,169,66,44.56
266,hard,487.98,117,2,35,0,0.02,19.16,433.3,1.79,5,42,55.56
267,hard,455.67,81,2,25,0,0.02,10.6,434.23,1.79,14,35,71.6
268,hard,385.58,147,1,-15,0,0.02,17.13,433.46,1.78,26,56,51.7
269,hard,579.59,162,2,55,0,0.02,17.85,435.28,1.78,21,60,57.41
270,hard,434.34,99,2,25,0,0.02,11.53,437.07,1.79,10,33,58.59
271,hard,404.87,73,2,30,0,0.02,7.93,438.93,1.8,24,31,79.45
272,hard,951.64,331,4,100,0,0.02,32.61,445.8,1.83,151,66,66.77
273,hard,513.4,155,2,10,0,0.02,17.02,446.76,1.83,34,47,56.13
274,hard,587.94,82,3,60,0,0.02,9.22,447.06,1.84,14,40,65.85
275,hard,500.85,211,2,15,0,0.02,20.04,447.66,1.84,114,43,70.62
276,hard,264.13,47,1,-5,0,0.02,4.72,445.57,1.83,0,27,70.21
277,hard,605.63,149,3,70,0,0.02,20.18,446.62,1.84,43,55,58.39
278,hard,374.84,50,2,25,0,0.02,6.88,445.31,1.84,6,30,68.0
279,hard,456.28,62,2,30,0,0.02,7.68,445.52,1.85,4,35,66.13
